sample.samplingPoint,longitude,latitude,area,subarea
SO-G0006057,-1.033749,50.954477,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J
SO-G0006041,-1.393872,51.243336,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-E0004920,0.46192,51.022326,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0555,1.16628,51.273498,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-G0004024,-1.498078,50.986197,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-G0017492,-0.840322,50.87314,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J
SO-G0006054,-1.517324,51.171552,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-5GWQ0554,0.814224,51.239585,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0469,0.328327,51.251523,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-E0004921,0.892109,51.317329,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-G0006042,-1.229232,51.283929,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-5GWQ0556,0.252163,50.99455,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-E0007296,1.011288,51.27929,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-E0007299,0.953674,51.286812,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-E0007301,0.082274,51.423969,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-D
SO-E0007304,0.084923,51.420217,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-D
SO-5GWQ0385,0.893108,51.32271,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-G0004091,-1.579372,51.176476,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-F0002562,-0.885919,50.965373,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J
SO-G0006044,-1.559212,51.326872,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
